Código Departamento,Departamento,Dato Numérico
1,Colombia,2598867.5643137256
5,Antioquia,2541017.216666667
8,Atlántico,1964941.0140196078
13,Bolívar,2111944.9066666667
15,Boyacá,2548284.3397058826
17,Caldas,1790309.3571568627
18,Caquetá,1034709.9222549018
19,Cauca,1418982.5347058827
20,Cesar,2223388.527254902
23,Córdoba,1174947.1576470588
25,Cundinamarca,2462626.8305882355
27,Chocó,1070084.2957843137
41,Huila,1793923.7079411764
44,La Guajira,1430246.7232352942
47,Magdalena,1213546.8946078431
50,Meta,5574664.095490196
52,Nariño,1013170.1009803921
54,Norte de Santander,1373695.8538235296
63,Quindío,1608903.9653921565
66,Risaralda,1849741.3388235294
68,Santander,3889906.566372548
70,Sucre,1094468.1960784313
73,Tolima,1795566.6371568628
76,Valle del Cauca,2447523.9601960783
81,Arauca,3135247.994607843
85,Casanare,6225133.129117648
86,Putumayo,1671606.9631372548
88,San Andrés y Providencia,2273411.460980392
91,Amazonas,1083127.7629411763
94,Guainía,991211.5335294119
95,Guaviare,889759.8100980393
97,Vaupés,723945.0298039216
99,Vichada,1015249.5750000001
